"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-06","9.4","257","0","9","8.74","0.0","73.3","82.0","64.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-07","8.9","492","0","0","3.74","0.0","80.9","88.6","73.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-08","7.6","300","0","0","4.57","0.0","74.7","82.8","66.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-09","7.8","115","0","51","1.54","0.0","67.2","77.1","57.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-10","8.3","45","0","213","0.51","0.0","59.6","68.8","50.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-11","10.1","0","0","618","2.97","0.0","44.4","52.9","35.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2013-12","8.7","0","3","868","4.62","9.4","37.0","44.1","29.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-01","10.1","0","4","1171","2.78","20.8","27.2","35.4","19.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-02","9.2","0","7","981","4.95","30.4","30.0","37.1","22.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-03","11.4","0","0","841","3.65","0.2","37.9","46.7","29.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-04","10.1","8","0","390","7.95","0.4","52.3","62.3","42.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-05","8.5","52","0","81","4.03","0.0","64.1","73.0","55.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-06","7.8","235","0","0","4.41","0.0","72.8","82.0","63.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-07","8.7","372","0","0","5.09","0.0","77.0","86.0","68.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-08","7.4","293","0","0","1.76","0.0","74.5","83.2","65.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-09","7.6","166","0","22","1.52","0.0","69.8","78.7","60.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-10","9.4","20","0","196","4.15","0.0","59.3","67.0","51.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-11","9.8","0","1","632","4.13","1.4","43.9","51.7","36.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2014-12","10.3","0","0","772","4.91","0.3","40.1","45.9","34.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-01","11.2","0","4","1129","4.42","14.9","28.6","35.9","21.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-02","10.5","0","3","1185","2.06","13.5","22.7","31.5","13.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-03","9.6","0","4","845","4.63","16.3","37.7","46.3","29.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-04","10.7","2","0","330","1.67","0.0","54.1","63.6","44.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-05","8.3","150","0","50","4.83","0.0","68.2","79.2","57.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-06","8.7","241","0","31","5.90","0.0","72.0","79.9","64.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-07","7.6","432","0","0","2.69","0.0","78.9","87.5","70.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-08","8.3","424","0","0","1.40","0.0","78.7","88.2","69.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-09","7.8","254","0","3","2.33","0.0","73.4","82.8","63.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-10","9.6","6","0","249","3.35","0.0","57.2","66.4","47.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2015-11","8.3","4","0","393","1.31","0.0","52.1","60.4","43.7",
